Delivery_ID,Truck_ID,Vehicle_Type,Truck_Age_Years,Vehicle_Status,Driver_ID,Driver_Name,Driver_Experience_Years,Driver_Performance_Score,Driver_Behaviour_Score,Delivery_Date,Route_Region,Route_Distance_KM,Delivery_Status,Delay_Hours,Delay_Reason,Fuel_Consumed_Liters,Fuel_Cost_EUR,Maintenance_Cost_EUR,Breakdown_Count,Downtime_Hours,Customer_ID,Customer_Name,Complaint_Category,Complaint_Status,Customer_Satisfaction_Score,Delivery_Revenue_EUR,Revenue_Loss_EUR
DEL-00001,TRK-108,Refrigerated Truck,7,Active,DRV-064,Lisa Adams,15,77.09,56.36,2026-02-20,Dublin,368,Delayed,7.21,Vehicle Breakdown,63.65,116.8,827.68,0,0.0,CUS-0131,Terry-Kelly,Delivery Delay,Open,3,2084.69,861.5
DEL-00002,TRK-134,Articulated Truck,5,Active,DRV-004,Christopher Alexander,7,81.5,79.61,2025-10-05,Kildare,326,On-Time,0.0,No Delay,56.92,107.1,289.61,0,0.0,CUS-0477,"Smith, Smith and Pearson",No Complaint,No Complaint,9,1804.45,0.0
DEL-00003,TRK-081,Van,2,Active,DRV-035,Darren Lee,12,81.37,73.44,2025-09-25,Galway,237,Delayed,9.22,Traffic,44.26,82.18,206.68,0,0.0,CUS-0289,"Baldwin, Robertson and Sanders",Delivery Delay,Open,3,2002.07,1076.29
DEL-00004,TRK-131,Rigid Truck,11,Active,DRV-005,Steven Yoder,10,67.82,67.3,2025-11-14,Cork,280,On-Time,0.0,No Delay,68.54,128.08,2917.95,2,7.43,CUS-0255,Mcfarland LLC,No Complaint,No Complaint,8,1788.88,0.0
DEL-00005,TRK-030,Articulated Truck,7,Maintenance,DRV-075,Brandi Cobb,9,61.69,50.31,2026-03-04,Cork,302,Failed,12.02,Driver Issue,46.41,97.26,1549.37,1,14.38,CUS-0348,Taylor LLC,Delivery Delay,In Progress,4,2113.22,1342.52
DEL-00006,TRK-131,Rigid Truck,9,Active,DRV-056,Jennifer Williams,14,62.55,59.51,2025-06-08,Dublin,250,Delayed,5.73,Route Inefficiency,56.12,92.98,1364.06,1,10.83,CUS-0187,Franklin-Gibson,Delivery Delay,Open,6,1828.02,417.8
DEL-00007,TRK-070,Van,1,Active,DRV-093,Christine Hall,2,64.92,57.61,2026-01-09,Galway,21,Delayed,6.36,Weather,3.7,7.25,181.64,0,0.0,CUS-0148,Jackson-Krause,Driver Behaviour,Open,3,128.0,847.99
DEL-00008,TRK-042,Refrigerated Truck,12,Active,DRV-007,James Hodge,3,93.56,89.63,2026-01-26,Limerick,365,On-Time,0.0,No Delay,74.94,146.54,1113.44,0,0.0,CUS-0144,"Wu, Graham and Burns",No Complaint,No Complaint,10,1947.74,0.0
DEL-00009,TRK-099,Rigid Truck,10,Breakdown,DRV-093,Timothy Sanchez,9,52.39,45.13,2025-09-06,Cork,131,On-Time,0.0,No Delay,25.85,51.56,5534.97,4,23.49,CUS-0384,Rodriguez PLC,No Complaint,No Complaint,9,1001.02,0.0
DEL-00010,TRK-115,Articulated Truck,2,Active,DRV-022,Lauren Griffith,6,79.33,72.29,2025-08-02,Kildare,213,On-Time,0.0,No Delay,38.85,71.8,180.48,0,0.0,CUS-0158,Williams-Rogers,No Complaint,No Complaint,10,1220.97,0.0
DEL-00011,TRK-116,Refrigerated Truck,6,Active,DRV-085,Nancy Ortiz,13,83.67,77.49,2025-09-14,Meath,249,Failed,6.54,Vehicle Breakdown,44.77,80.41,1438.1,1,9.72,CUS-0161,"Barnett, Guzman and Wilson",Delivery Delay,Resolved,3,1865.23,1641.79
DEL-00012,TRK-039,Rigid Truck,3,Maintenance,DRV-042,Megan Wise,2,74.29,60.21,2026-02-09,Meath,147,On-Time,0.0,No Delay,28.09,61.36,2198.47,2,21.25,CUS-0026,Alexander-Snyder,No Complaint,No Complaint,10,1071.35,0.0
DEL-00013,TRK-063,Articulated Truck,3,Active,DRV-022,Joseph Brown,9,62.76,54.05,2025-11-08,Cork,325,On-Time,0.0,No Delay,66.61,137.33,273.94,0,0.0,CUS-0058,Mcdonald and Sons,No Complaint,No Complaint,9,1889.1,0.0
DEL-00014,TRK-106,Articulated Truck,6,Active,DRV-019,Nicholas Nunez,4,70.97,80.35,2025-09-25,Dublin,324,On-Time,0.0,No Delay,61.67,115.9,1157.03,1,13.19,CUS-0120,Collins Ltd,No Complaint,No Complaint,8,1637.31,0.0
DEL-00015,TRK-093,Refrigerated Truck,3,Active,DRV-067,Mikayla Solis,10,60.06,38.22,2026-02-20,Limerick,111,On-Time,0.0,No Delay,20.64,43.19,640.33,0,0.0,CUS-0154,Robertson-Vasquez,No Complaint,No Complaint,9,745.63,0.0
DEL-00016,TRK-101,Refrigerated Truck,3,Active,DRV-010,Cynthia Espinoza,9,49.89,46.73,2026-02-24,Kildare,105,On-Time,0.0,No Delay,21.14,46.39,504.47,0,0.0,CUS-0325,Cook-Marquez,No Complaint,No Complaint,9,617.95,0.0
DEL-00017,TRK-046,Articulated Truck,4,Breakdown,DRV-035,Nicholas Rodriguez,4,86.23,88.93,2026-03-10,Meath,309,Delayed,13.27,Vehicle Breakdown,59.93,110.84,3085.33,2,10.17,CUS-0337,Carney-Flowers,Wrong Delivery,Open,5,1867.72,2046.99
DEL-00018,TRK-012,Rigid Truck,10,Active,DRV-055,Victor Ryan,13,63.26,60.14,2025-12-29,Waterford,283,Delayed,10.09,Weather,56.97,114.86,1172.77,0,0.0,CUS-0279,Martinez-Pierce,Driver Behaviour,In Progress,5,1740.58,931.88
DEL-00019,TRK-075,Articulated Truck,9,Maintenance,DRV-076,Leslie Martinez,9,80.94,92.94,2025-08-17,Dublin,374,Delayed,5.96,Vehicle Breakdown,76.15,146.12,1456.03,1,5.99,CUS-0074,"Gonzales, Jennings and Morales",Wrong Delivery,Escalated,2,2851.82,353.26
DEL-00020,TRK-090,Refrigerated Truck,10,Active,DRV-039,Gregory Welch,6,70.6,61.83,2025-10-14,Kildare,272,Delayed,10.9,Weather,66.34,131.24,660.3,0,0.0,CUS-0451,Conner-Daniel,Delivery Delay,Resolved,3,2043.68,934.19
DEL-00021,TRK-147,Van,2,Active,DRV-057,Wesley Hall II,14,71.17,67.98,2026-05-25,Cork,239,On-Time,0.0,No Delay,48.43,110.05,4058.54,3,20.84,CUS-0047,Young PLC,No Complaint,No Complaint,10,1579.98,0.0
DEL-00022,TRK-141,Articulated Truck,9,Maintenance,DRV-035,Erin Gould,14,78.97,80.19,2025-08-11,Waterford,324,Delayed,7.97,Vehicle Breakdown,56.73,98.24,2143.92,3,20.78,CUS-0390,Peterson Inc,Delivery Delay,In Progress,5,2045.4,417.22
DEL-00023,TRK-105,Refrigerated Truck,2,Breakdown,DRV-001,Michael Morgan,5,57.89,37.44,2025-07-30,Waterford,390,On-Time,0.0,No Delay,61.69,123.47,1976.37,2,6.52,CUS-0496,Ellison-Mccormick,No Complaint,No Complaint,8,3068.71,0.0
DEL-00024,TRK-057,Rigid Truck,7,Maintenance,DRV-047,Lisa Henson,12,65.58,58.18,2025-11-24,Meath,25,Delayed,8.77,Vehicle Breakdown,5.2,9.43,3544.55,3,24.36,CUS-0207,"Campos, Quinn and Butler",Missing Delivery,Escalated,4,164.53,1086.49
DEL-00025,TRK-106,Refrigerated Truck,5,Active,DRV-081,Abigail Tucker,14,59.68,46.85,2025-11-22,Waterford,360,On-Time,0.0,No Delay,62.57,119.07,463.77,0,0.0,CUS-0285,"Scott, Wright and Fields",No Complaint,No Complaint,9,2748.46,0.0
DEL-00026,TRK-093,Van,4,Active,DRV-050,John Elliott,8,50.2,39.2,2025-11-20,Waterford,157,Delayed,7.34,Vehicle Breakdown,28.31,56.07,426.39,0,0.0,CUS-0122,Taylor-Ramos,Damaged Goods,In Progress,3,1144.64,529.55
DEL-00027,TRK-047,Refrigerated Truck,3,Active,DRV-056,Kristin Villegas,5,55.34,58.06,2025-12-18,Kildare,296,Delayed,6.71,Driver Issue,79.51,167.03,299.69,0,0.0,CUS-0014,"Black, Carroll and Bowen",Driver Behaviour,Open,3,1778.71,393.68
DEL-00028,TRK-126,Van,10,Active,DRV-025,Cesar Rose,7,74.42,50.97,2026-04-10,Dublin,47,Failed,5.91,Vehicle Breakdown,10.59,20.24,1187.98,0,0.0,CUS-0013,"Hamilton, Brady and Griffin",Missing Delivery,Resolved,2,350.13,210.37
DEL-00029,TRK-121,Rigid Truck,4,Active,DRV-053,Justin Walker,4,86.21,88.61,2026-01-15,Kildare,44,On-Time,0.0,No Delay,6.73,13.51,1253.97,1,11.89,CUS-0277,Perry PLC,No Complaint,No Complaint,10,241.01,0.0
DEL-00030,TRK-066,Van,6,Active,DRV-092,Paul Floyd,7,84.27,65.12,2026-05-12,Galway,89,On-Time,0.0,No Delay,19.02,36.21,664.69,0,0.0,CUS-0004,Matthews-Little,No Complaint,No Complaint,9,755.52,0.0
DEL-00031,TRK-130,Van,6,Breakdown,DRV-065,David Lyons,1,89.72,81.06,2026-04-14,Meath,137,Delayed,10.93,Route Inefficiency,33.4,71.7,3902.69,3,42.36,CUS-0101,Horton PLC,Missing Delivery,In Progress,2,818.84,1202.86
DEL-00032,TRK-064,Articulated Truck,9,Active,DRV-060,Mathew Petty,9,76.45,73.35,2026-03-17,Waterford,292,On-Time,0.0,No Delay,47.77,103.08,1677.81,1,14.98,CUS-0328,"Cortez, Rush and Wilcox",No Complaint,No Complaint,10,1525.68,0.0
DEL-00033,TRK-053,Van,11,Active,DRV-051,Pamela Nunez,5,68.93,67.26,2025-06-11,Meath,380,Delayed,3.74,Vehicle Breakdown,81.33,143.57,984.62,0,0.0,CUS-0435,"Cummings, Madden and Hebert",Delivery Delay,Resolved,6,2474.13,236.53
DEL-00034,TRK-047,Van,6,Active,DRV-088,Joshua Lin,3,98.66,100.0,2025-07-29,Limerick,153,Delayed,8.16,Vehicle Breakdown,26.3,49.57,494.76,0,0.0,CUS-0184,Reed LLC,Driver Behaviour,In Progress,5,1037.27,889.88
DEL-00035,TRK-111,Van,8,Breakdown,DRV-060,Laura Cooper,13,77.5,75.77,2026-04-03,Galway,280,On-Time,0.0,No Delay,74.27,163.61,3063.52,3,18.91,CUS-0460,White Group,No Complaint,No Complaint,8,1431.75,0.0
DEL-00036,TRK-057,Rigid Truck,12,Maintenance,DRV-026,Keith Stevens,4,63.19,45.01,2026-02-19,Dublin,375,Delayed,12.24,Traffic,82.46,153.82,2394.96,1,3.97,CUS-0291,"Mitchell, Anderson and Ellis",Missing Delivery,In Progress,5,2154.67,1025.08
DEL-00037,TRK-104,Rigid Truck,4,Maintenance,DRV-071,Brandon Hughes,10,64.28,49.29,2026-06-06,Dublin,44,Delayed,5.49,Driver Issue,10.64,20.95,2324.26,2,12.28,CUS-0224,"Young, Butler and Jones",Delivery Delay,In Progress,4,229.33,910.48
